timestamp,wei
1661644800,20000000000000000000
1662422400,284000000000000000000
1662681600,174000000000000000000
1663113600,195000000000000000000
1663286400,157000000000000000000
1663977600,308000000000000000000
1664409600,583000000000000000000
1664928000,689000000000000000000
1665619200,545000000000000000000
1666310400,467000000000000000000
1667260800,298000000000000000000
1668384000,399000000000000000000
1669161600,505000000000000000000
1670371200,249000000000000000000
1672790400,375000000000000000000
1674172800,781000000000000000000
1675382400,866000000000000000000
1677801600,3068000000000000000000
1679443200,4120000000000000000000
1681257600,3065000000000000000000
1681862400,3377000000000000000000
1682626657,3708876552979346100901
1682689265,3628235166823433571758
1682768734,3704258441990357732703
1682853859,3962393180388139758232
1682935977,3967287453875307346604
1683048981,4023145649239432812545
1683104570,4035931846160722705139
1683188518,4009773975773858987033
1683357373,3773020780600292725356
1683545432,3559655655997195962130
1683629788,4257785944363955245888
1683708595,4527006618650815243651
1683826234,4586178937235701138360
1683890605,4892520060919304110265
1683980473,4782901500679605306234
1684052158,4783243973575049179124
1684095661,4800799708750605912946
1684143845,4843514376035938899655
1684246113,4898616151471298675905
1684365204,4741059138947030157295
1684421260,4692088028199456401836
1684452134,4791698408297133158679
1684483993,4791774668686092345076
1684543259,4775925248260764452853
1684571103,4846119802015485300161
1684624008,4820542811698067572621
1684658985,4778703006442729872842
1684817563,4838820317649716420996
1684874300,4656366072120986961650
