timestamp,wei
1693643458,4817301666304247313980
1693682172,4915700059326732617388
1693758812,4980739799826245407845
1693799005,5633037627344095233516
1693809617,5432131950389340910136
1693873952,13580497140746303992500
1693959634,12858382754926527408947
1694002642,12484584321305570381370
1694100051,14334199187237322607992
1694147560,13724519431401177969421
1694217703,16332843880698494378313
1694252808,16894209114532093821542
1694289247,16965383780379981668696
1694330678,14591111651113668930358
1694395103,18517657850056090355369
1694423424,19038596107693104269383
1694474508,17568137401998569344962
1694514340,18568748083704816060321
1694568822,19167959709530990424144
1694599395,18803928173578176588540
1694686800,19321371987343088136696
1694736281,19194033835469297056737
1694774772,20401087328556479744409
1694836593,20535431351364784603710
1694912558,17737934120267859171766
1694952670,20845675232626714876463
1695125355,18598316022368494340006
1695171963,14418753974026304659913
1695202751,17579203968220698760239
1695248908,17643449647276311726192
1695288176,17469093770100135189978
1695377523,16834953290105289965819
1695436749,17278869121132001314981
1695460912,17327132289904355187740
1695514527,16634562930017041507713
1695551526,15275449754587513838958
1695600323,15199115880127137596736
1695635065,15254978216552015482165
1695685847,15219424257793435269665
1695719624,15345276600146167705084
1695779514,15127248606212360337940
1695806156,15004082947153632022374
1695867237,15612439524839312432981
1695893475,14897938723717590395840
1695943976,15531610826111872033330
1695982353,16152511575028997731368
1696195385,17288422212434448190052
1696241842,17258170619958802050211
1696289729,17148095461578148098496
1696327897,16463503487006070500931
1696380130,14921498473286400086370
1696419060,16428384436791980482148
1696530370,17833811686721501297538
1696602259,16754091319999161804190
1696633620,16666269281369980287421
1696679998,17090446730870891330588
1696719918,17186362921707675598629
1696756114,17161874729290056900520
1696806412,16311931913247323699217
1696831126,16312033798183421733249
1696892778,16059802022540274298840
1696928726,16069907714669923016953
1696979114,17274736334394975141211
1697015178,17305453423682159430763
1697176341,18912142706853161728122
1697187876,18828215202315142524696
1697238288,18766018703178434878223
1697274322,16954371659119258321869
1697324718,17053390185160906302184
1697435031,17073164953411504164094
1697447284,16456476587517934436019
1697497590,15682951556409309405883
1697533514,15797111400084490023660
1697583922,15291839814289948461431
1697620050,13506177981424613404560
1697675151,13461191228674870278378
1697706454,13327486232857454556713
1697756680,14978483449553616272779
1697792710,15549942398499510550664
1697959794,15418162877422638268128
1697990722,12922494171536171439665
1698026850,13711266443129173709451
1698077110,14962166079645869378494
1698113194,15235601891478658825839
1698200613,15893195860977435101995
1698250670,15639883518705379141244
1698305798,15964812619154264030031
1698339273,16457540194916422837158
1698372288,16364332460212933226721
1698422650,16540369471546895389188
1698458710,18067538186802397852589
1698568911,17325333813427840458390
1698625853,16911942694498644028820
