timestamp,wei
1661644800,3350000000000000000000
1662422400,3750000000000000000000
1662681600,3180000000000000000000
1663113600,2900000000000000000000
1663286400,4180000000000000000000
1663977600,4950000000000000000000
1664409600,5850000000000000000000
1664928000,6850000000000000000000
1665619200,7450000000000000000000
1666310400,8400000000000000000000
1667260800,7800000000000000000000
1668384000,4550000000000000000000
1669161600,3170000000000000000000
1670371200,4460000000000000000000
1671494400,3900000000000000000000
1672790400,5650000000000000000000
1674172800,5890000000000000000000
1675382400,5740000000000000000000
1677801600,10030000000000000000000
1679443200,9600000000000000000000
1681257600,16500000000000000000000
1681862400,18250000000000000000000
1682380800,15900000000000000000000
1682605338,17280000000000000000000
1682688839,16860000000000000000000
1682766746,16620000000000000000000
1682851446,16260000000000000000000
1682935653,16500000000000000000000
1683048653,16049404867193897100030
1683104245,15767893416515836418368
